iso,SID,P_2019,GR_SID,area
vnm,3186,24662,182,756
vnm,3159,25574,182,909
vnm,3150,13401,182,629
vnm,3255,5793,188,774
vnm,3252,5560,188,852
vnm,3260,9074,188,729
vnm,3253,7534,188,855
vnm,3259,8632,188,740
vnm,3248,8013,188,550
vnm,3251,6305,188,765
vnm,3256,8059,188,699
vnm,3257,8330,188,999
vnm,3261,6887,188,928
vnm,3254,7248,188,721
vnm,3250,5600,188,686
vnm,3249,6900,188,904
vnm,3258,8341,188,1265
vnm,3263,9332,189,981
vnm,3273,8653,189,1116
vnm,3270,4028,189,512
vnm,3275,5997,189,729
vnm,3266,5936,189,593
vnm,3272,4787,189,669
vnm,3265,9598,189,1552
vnm,3274,3842,189,619
vnm,3268,12084,189,1241
vnm,3267,5791,189,468
vnm,3262,10586,189,815
vnm,3269,4117,189,619
vnm,3271,8881,189,1305
vnm,3264,9503,189,690
vnm,3183,5056,184,564
vnm,3194,9025,184,804
vnm,3195,6774,184,856
vnm,3193,6848,184,877
vnm,3200,9376,184,1013
vnm,3180,10706,184,948
vnm,3199,7245,184,887
vnm,3196,12197,184,1026
vnm,3201,4357,184,642
vnm,3198,5801,184,610
vnm,3192,11042,184,1065
vnm,3182,8552,184,798
vnm,3178,9328,184,279
vnm,3188,8286,184,1066
vnm,3187,6168,184,806
vnm,3189,12763,184,603
vnm,3184,30505,184,1042
vnm,3185,6957,184,858
vnm,3190,10892,184,999
vnm,3179,6398,184,483
vnm,3197,5382,184,866
vnm,3226,15435,186,519
vnm,3223,15352,186,412
vnm,3225,18157,186,802
vnm,3228,20657,186,962
vnm,3218,9834,186,152
vnm,3220,18137,186,668
vnm,3229,17474,186,690
vnm,3222,12784,186,398
vnm,3219,12670,186,1041
vnm,3227,13592,186,517
vnm,3224,7797,186,281
vnm,3221,13041,186,685
vnm,3236,10137,187,912
vnm,3232,12237,187,859
vnm,3235,12643,187,992
vnm,3238,10669,187,1102
vnm,3230,14097,187,577
vnm,3242,5933,187,429
vnm,3231,9810,187,543
vnm,3233,12695,187,733
vnm,3246,9148,187,1001
vnm,3243,8050,187,770
vnm,3244,9344,187,901
vnm,3245,9650,187,1009
vnm,3234,6253,187,320
vnm,3247,4351,187,382
vnm,3239,6643,187,546
vnm,3240,9745,187,1151
vnm,3237,9126,187,668
vnm,3241,9482,187,562
vnm,3217,6098,185,528
vnm,3214,25050,185,892
vnm,3208,7096,185,480
vnm,3209,25664,185,856
